symbol,link,trend,close,volume_diario,ma_dist_pct
ATOM_USDT,https://futures.mexc.com/exchange/ATOM_USDT,NEUTRO,2.56,14M,-1.0975266564522552
RENDER_USDT,https://futures.mexc.com/exchange/RENDER_USDT,BAIXA,2.21,14M,-4.047047899094614
CAKE_USDT,https://futures.mexc.com/exchange/CAKE_USDT,ALTA,2.1429,14M,4.866012183893646
KAS_USDT,https://futures.mexc.com/exchange/KAS_USDT,BAIXA,0.04484,13M,-3.893817063217489
TONCOIN_USDT,https://futures.mexc.com/exchange/TONCOIN_USDT,NEUTRO,1.712,13M,-1.8758107658221335
VET_USDT,https://futures.mexc.com/exchange/VET_USDT,ALTA,0.01202,12M,1.2229763058971417
ALGO_USDT,https://futures.mexc.com/exchange/ALGO_USDT,NEUTRO,0.1324,11M,-0.9231510624520012
BERA_USDT,https://futures.mexc.com/exchange/BERA_USDT,ALTA,0.8978,10M,20.935401713359582
IP_USDT,https://futures.mexc.com/exchange/IP_USDT,NEUTRO,2.631,10M,1.1289034526974113
FLOKI_USDT,https://futures.mexc.com/exchange/FLOKI_USDT,BAIXA,5.089e-05,9M,-1.4901094060620654
TRX_USDT,https://futures.mexc.com/exchange/TRX_USDT,ALTA,0.31465,9M,2.84698402130052
LIT_USDT,https://futures.mexc.com/exchange/LIT_USDT,NEUTRO,1.933,9M,-18.629067245119316
VIRTUAL_USDT,https://futures.mexc.com/exchange/VIRTUAL_USDT,BAIXA,0.9674,7M,-4.524693787679778
ETHFI_USDT,https://futures.mexc.com/exchange/ETHFI_USDT,NEUTRO,0.7594,7M,-0.15162830696811294
POL_USDT,https://futures.mexc.com/exchange/POL_USDT,NEUTRO,0.14644,7M,-7.034128431010095
XPL_USDT,https://futures.mexc.com/exchange/XPL_USDT,BAIXA,0.1423,6M,-9.155528476955702
LDO_USDT,https://futures.mexc.com/exchange/LDO_USDT,NEUTRO,0.6107,6M,-3.735440667745724
BEAT_USDT,https://futures.mexc.com/exchange/BEAT_USDT,NEUTRO,0.3921,6M,-6.747166257441727
FET_USDT,https://futures.mexc.com/exchange/FET_USDT,NEUTRO,0.2803,6M,-1.778556057217626
MANA_USDT,https://futures.mexc.com/exchange/MANA_USDT,ALTA,0.1665,6M,5.902002158179419
SPX_USDT,https://futures.mexc.com/exchange/SPX_USDT,BAIXA,0.5697,5M,-2.456182186717537
XAI_USDT,https://futures.mexc.com/exchange/XAI_USDT,NEUTRO,0.01878,5M,14.229397953563861
